,Address,City,Postcode,Price,Rooms,Link,DateLastUpdated,EstimatedAnnualRent,Gross_Yield_%,Net_Yield_%,Avg_Sold_Price_2024
106,"15 Silvercroft Street, Manchester, M15","Manchester, UK",M1,272000.0,1,https://rightmove.co.uk/properties/160744205#/?channel=RES_BUY,2025-07-11,16681.333333333332,6.13,0.38,518486.1052631579
107,"Oxygen Tower, 50 Store Street, Manchester, Greater Manchester, M1","Manchester, UK",M1,275000.0,2,https://rightmove.co.uk/properties/164405603#/?channel=RES_BUY,2025-07-11,19878.75,7.23,1.32,518486.1052631579
108,"50 Bengal Street, Manchester, M4","Manchester, UK",M1,270000.0,1,https://rightmove.co.uk/properties/157063976#/?channel=RES_BUY,2025-07-11,16681.333333333332,6.18,0.42,518486.1052631579
109,"Elizabeth Tower, 141 Chester Road, Manchester, M15","Manchester, UK",M1,290000.0,1,https://rightmove.co.uk/properties/87176964#/?channel=RES_BUY,2025-07-10,16681.333333333332,5.75,0.06,518486.1052631579
110,"Castlegate, Castlefield Chester Road M15","Manchester, UK",M1,270000.0,1,https://rightmove.co.uk/properties/162136841#/?channel=RES_BUY,2025-07-09,16681.333333333332,6.18,0.42,518486.1052631579
111,"Local Blackfriars, Salford","Manchester, UK",M4,275000.0,2,https://rightmove.co.uk/properties/164739491#/?channel=RES_BUY,2025-07-21,18552.0,6.75,0.91,316225.6449814126
112,"Hallmark Tower, 6 Cheetham Hill Road, Manchester, M4","Manchester, UK",M4,295000.0,2,https://rightmove.co.uk/properties/162992066#/?channel=RES_BUY,2025-07-17,18552.0,6.29,0.51,316225.6449814126
113,"Cypress Place, Green Quarter, Manchester, M4","Manchester, UK",M4,260000.0,2,https://rightmove.co.uk/properties/162525260#/?channel=RES_BUY,2025-07-16,18552.0,7.14,1.24,316225.6449814126
114,"Blackfriars, 56 Bury Street, Salford, M3","Manchester, UK",M4,265000.0,2,https://rightmove.co.uk/properties/163709462#/?channel=RES_BUY,2025-07-14,18552.0,7.0,1.12,316225.6449814126
115,"Jefferson Place, 1 Fernie Street, Green Quarter, Manchester","Manchester, UK",M4,250000.0,2,https://rightmove.co.uk/properties/163734632#/?channel=RES_BUY,2025-07-13,18552.0,7.42,1.48,316225.6449814126
116,"New Century Park, Manchester, M4","Manchester, UK",M4,250000.0,2,https://rightmove.co.uk/properties/164404559#/?channel=RES_BUY,2025-07-11,18552.0,7.42,1.48,316225.6449814126
117,"8 Lower Vickers Street, Manchester, M40","Manchester, UK",M4,260000.0,2,https://rightmove.co.uk/properties/158771027#/?channel=RES_BUY,2025-07-10,18552.0,7.14,1.24,316225.6449814126
118,"Derwent Street, Manchester, Greater Manchester, M4","Manchester, UK",M4,300000.0,2,https://rightmove.co.uk/properties/164350841#/?channel=RES_BUY,2025-07-09,18552.0,6.18,0.42,316225.6449814126
119,"Printing Press House, Street, Manchester","Manchester, UK",M4,250000.0,1,https://rightmove.co.uk/properties/164337632#/?channel=RES_BUY,2025-07-09,15000.0,6.0,0.27,316225.6449814126
120,"Transmission House, Tibb Street, Manchester, M4 1AG","Manchester, UK",M4,290000.0,2,https://rightmove.co.uk/properties/164313044#/?channel=RES_BUY,2025-07-08,18552.0,6.4,0.61,316225.6449814126
121,"Thomas Telford Basin, Manchester, Greater Manchester, M1","Manchester, UK",M4,280000.0,2,https://rightmove.co.uk/properties/164312996#/?channel=RES_BUY,2025-07-08,18552.0,6.63,0.8,316225.6449814126
